Pop	Food	Muscle_Width	Body_Width	Body_Length	Tail_length	Body_depth	Muscle_depth	Tail_depth
3	R	1.3	6	8.95	16.29	4.8	1.6	5
3	R	1.4	6.7	11.75	18.16	5.9	1.8	5.4
3	R	1.6	7.7	10.21	19.73	6.8	2	6.2
3	R	1.8	7.3	9.8	18.45	6.2	1.7	5.7
3	R	1.5	6.2	9.92	17.27	5.4	1.7	5.2
3	R	1.1	5.8	9.01	16.08	4.9	1.6	4.8
3	R	1.2	6.2	9.18	19.48	5.5	1.7	5.3
3	R	1.2	5.6	8.62	16.98	4.8	1.5	4.5
3	R	1.2	6.6	10.47	21.89	5.9	2.1	6.3
3	R	1.6	7.2	11.09	15.78	6.5	1.2	5.6
3	R	1.5	5.9	8.56	16.23	5	1.6	4.6
4	U	2.2	8	12.8	28.61	7.2	2.5	7
4	U	2.2	8	11.14	24.8	7.1	2.7	7.5
4	U	1.9	8.8	13.58	27.14	7.7	2.6	7.1
4	U	2.5	8.3	12.01	31.66	7.2	2.9	7.1
4	U	2.4	8.9	13.72	28.56	6.5	2.7	7.4
4	U	2.2	8.1	12.79	27.25	6.5	2.5	7.5
4	U	2.1	9.2	12.91	29.4	7.7	2.7	8.2
4	U	2.4	8.6	13.77	28.33	7.6	2.5	7.5
4	U	1.9	8.9	13.06	29.32	8.3	2.6	7.2
4	U	2	7	9.41	22.57	6.1	2.3	6.5
4	U	2	8.9	11.81	29.83	7.4	2.8	7.4
4	U	2.3	8	12.52	30.26	7.2	2.7	7.3
4	U	1.9	7.8	9.32	24.46	7	2.4	7.1
4	U	2.5	9.4	11.97	30.76	8.1	3.1	8.1
4	U	2.4	7.8	12.58	31.76	6.8	2.7	8.1
4	U	1.8	8	11.86	29.57	6.7	2.3	7.1
4	R	1.6	8	11.12	22.92	6.8	2.1	6.5
4	R	1.8	7.2	11.46	23.63	6	2.3	6.4
4	R	1.4	7.3	11	23.18	6	2.1	6.1
4	R	1.6	7.5	11.16	22.28	6.2	2.1	5.8
4	R	1.5	6.5	9.38	21.06	5.6	1.7	4.9
4	R	1.5	6.8	9.9	24.19	5.7	2.1	6
4	R	1.2	6.3	9.84	19.23	5.4	1.8	5
4	R	1.6	7.6	11.66	23.32	6.2	2.2	6.3
4	R	1.5	6.8	10.49	21.46	5.2	2.1	6.2
4	R	1.5	7.5	10.54	22.52	6.2	2	6.1
4	R	1.7	8	11.63	22.02	6.8	2.4	6.5
4	R	1.7	6.9	10.51	23.5	5.8	2	5.4
4	R	1.5	6.2	9.16	23.54	5.3	2	5.2
4	R	1.2	6.7	11.35	19.52	5	2	5.6
4	R	1.5	7.7	11	22.77	6.5	2.4	6.6
4	R	1.6	7.9	10.7	24.31	6.5	2.4	6.4
4	R	1.6	7.2	9.9	23.36	6.1	2.3	6.1
4	R	1.5	7.2	9.81	22.53	6	2.1	6
5	U	1.9	9.1	11.96	30.27	7.5	2.8	7.8
5	U	2	8.7	11.77	27.52	7.7	2.8	8.5
5	U	2.1	8.2	11.19	27.61	7.1	2.6	7.4
5	U	2	8.4	12.51	31.17	7.3	2.8	7.3
5	U	1.8	9.3	12.11	26.23	7.9	2.6	7.9
5	U	1.7	7.8	10	27.7	7	2.5	7
5	U	1.9	7.9	10.86	26.17	6.4	2.5	7.4
5	U	2	9.6	12.91	31.29	8.2	3	8.1
5	U	2	7.4	11.49	27.83	6.6	2.6	6.7
5	U	2	9.5	12.98	28.95	8.6	2.8	8
5	U	2.1	8.6	12.21	30	7.1	3.1	8
5	U	1.9	8	12.86	27.17	7.2	2.3	6.6
5	U	2.1	9.4	12.9	28.55	8.3	3.1	8.5
5	U	2.2	9.4	13.39	31.16	8.3	3	8.7
5	U	1.8	8.6	13.26	28.48	7.5	2.8	7.3
5	U	2.1	9.1	14.2	33.23	7.9	3.1	8.5
5	U	2	9	12.85	30.67	7.6	2.8	8
5	U	2.1	8.6	12.75	29.56	7.8	2.8	8
5	R	1.6	6.8	10.68	21.87	5.3	2.1	6.3
5	R	1.5	6.3	9.78	20.51	4.8	2	5.2
5	R	1.4	7.2	10.24	22.46	6.6	2	6
5	R	1.3	6.3	10.02	20.28	5.2	1.9	5.4
5	R	1.3	6.3	9.68	30.98	5.6	2	5.5
5	R	1.4	6.7	8.45	20.22	5.5	1.9	5.3
5	R	1.7	8	10.77	21.13	6.8	2.1	6.2
