Sample.ID	adaptation	temperature	co2	water.loss	body.size	weight.loss	eggs
J14	heat.adapted	35	0.018566667	36.601798	0.0143	0.0018	62
D17	cold.adapted	35	0.016673333	36.80398667	0.0169	0.003	64
K8	heat.adapted	35	0.018871407	36.83094067	0.019	0.0048	77
J20	heat.adapted	35	0.016641647	37.32473733	0.0153	0.003	57
C8	cold.adapted	35	0.016596487	37.432562	0.0158	0.003	59
L22	heat.adapted	35	0.018325667	38.10274733	0.017	0.0031	77
K3	heat.adapted	35	0.016251407	38.41418533	0.0147	0.003	68
J10	heat.adapted	35	0.015154413	38.799808	0.0143	0.0026	56
D20	cold.adapted	35	0.016242673	38.802102	0.0166	0.0029	64
J18	heat.adapted	35	0.018344293	38.875668	0.0135	0.002	61
D5	cold.adapted	35	0.01496	39.11251467	0.0161	0.0024	68
F20	cold.adapted	35	0.0139931	39.125754	0.0172	0.0043	54
J5	heat.adapted	35	0.020826833	39.16857533	0.0166	0.0026	70
D23	cold.adapted	35	0.01504	39.617906	0.0158	0.0027	40
F21	cold.adapted	35	0.013605133	39.671212	0.0165	0.0047	60
C22	cold.adapted	35	0.0163072	40.889236	0.0159	0.0034	63
J16	heat.adapted	35	0.016591373	41.45969533	0.0139	0.0029	47
K18	heat.adapted	35	0.019154333	42.25927267	0.0185	0.0048	66
C18	cold.adapted	35	0.014432807	44.37304933	0.0152	0.003	64
J22	heat.adapted	35	0.02042	45.15347933	0.016	0.003	57
C19	cold.adapted	35	0.012015467	45.20819467	0.0126	0.0022	49
C6	cold.adapted	35	0.014986667	45.27791333	0.0151	0.0031	48
K22	heat.adapted	35	0.0174299	46.33525867	0.0164	0.0037	55
C23	cold.adapted	35	0.015110867	46.82505	0.0149	0.0018	48
D22	cold.adapted	35	0.017188747	47.71128	0.0146	0.0023	63
D7	cold.adapted	35	0.01548888	49.18246067	0.0146	0.0018	41
